Peche;0,8;0;6,4;2,2;6;0,2;9
Poire;0,7;0;9,2;2,4;10;0,2;3
Pomme;0,2;0;11,3;2,3;5;0,2;4
Prune;0,4;0;7;2,7;4;0,2;2
Raisin;0,5;0;13,8;1,4;10;0,7;2
orange ;1,1;0;8,5;1,6;48;0,1;45
kiwi;1,2;0,7;14,7;3;27;0,2;85
fraises;7;0;5,2;1,3;8;0,2;49
framboises;1;0;7;7,4;40;1;25
fraises;7;0;5,2;1,3;8;0,2;49
mures;1;1;6;7,3;60;1;12
myrtilles;1;0;6;7,3;15;1;10
Huile de colza (Olive);0,3;100;0,3;0;8;0,1;0
Beurre;0,5;82;0,5;0;17;0,1;0
Mayonnaise a huile de colza;1,5;78,9;0,5;0,3;0;0;0
Mayonnaise allegee;0,9;30;9;0,2;47,4;0,4;0
sauce vinaigrette nubel;0,9;51,8;1,4;0;0,9;0,2;0
sauce vinaigrette light nubel (non sucree);0,4;24,6;4,5;0,7;24;0,2;0
Creme 35%;2,2;35;3,1;0;76;5,9;1
Creme 20%;2,7;20,2;5,3;0,1;125;1,9;1
Huile de colza (Olive);0,3;100;0,3;0;8;0,1;0
Beurre;0,5;82;0,5;0;17;0,1;0
Mayonnaise a huile de colza;1,5;78,9;0,5;0,3;0;0;0
Mayonnaise allegee;0,9;30;9;0,2;47,4;0,4;0
sauce vinaigrette Nubel;0,9;51,8;1,4;0;9;0,2;0
sauce vinaigrette light Nubel (non sucree);0,4;24,6;4,5;0,7;24;0,2;0
Creme 35%;2,2;35;3,1;0;76;5,9;1
Creme 20%;2,7;20,2;5,3;0,1;125;1,9;1
Huile de colza (Olive);0,3;100;0,3;0;8;0,1;0
Mayonnaise a huile de colza;1,5;78,9;0,5;0,3;0;0;0
Mayonnaise allegee;0,9;30;9;0,2;47,4;0,4;0
sauce vinaigrette Nubel;0,9;51,8;1,4;0;9;0,2;0
sauce vinaigrette light Nubel (non sucree);0,4;24,6;4,5;0,7;24;0,2;0
Huile de colza (Olive);0,3;100;0,3;0;8;0,1;0
Beurre;0,5;82;0,5;0;17;0,1;0
Creme 40%;2;40;3,3;0;80;0,1;1
Creme 35%;2,2;35;3,1;0;76;5,9;1
Creme 20%;2,7;20,2;5,3;0,1;125;1,9;1
Creme 8%;3,2;9,1;4,3;0;105;0;0
Beurre;0,5;82;0,5;0;17;0,1;0
Margarine 80%;0,4;80,4;0,3;0;11,1;0,1;0
